a,b,c,d,e,f,g,h,i
0,0.92285,-2.4023,1.5114,303.94,-257.91,-53.181,307.28,10.509
0.0007,1.4844,-2.627,1.1826,308.87,-205.93,-109.34,307.29,10.724
0.0014,1.7432,-2.5586,0.84895,305.91,-140.09,-171.47,307.29,10.94
0.0021,1.9727,-2.2998,0.36313,299.5,-68.808,-237.08,307.29,11.155
0.0028,2.2949,-1.9189,-0.31406,279.27,1.4851,-286.28,307.29,11.37
0.0035,2.5684,-1.5576,-0.94709,241.77,63.858,-309.15,307.29,11.585
0.0042,2.6562,-1.2305,-1.374,186.01,120.78,-311.14,307.29,11.8
0.0049,2.4951,-0.84961,-1.6096,117.92,183.16,-309.15,307.29,12.015
0.0056,2.1924,-0.31738,-1.85,44.9,246.52,-298.71,307.29,12.23
0.0063,1.7725,0.39551,-2.1543,-22.203,293.05,-274.85,307.28,12.445
0.007,1.4014,1.0107,-2.3947,-79.932,309.39,-234.1,307.29,12.661
0.0077,1.0449,1.3916,-2.4193,-139.14,305.43,-174.95,307.3,12.876
0.0084,0.64941,1.5918,-2.2279,-203.28,301.96,-104.37,307.29,13.091
0.0091,0.068359,1.8555,-1.9334,-261.01,291.07,-31.809,307.29,13.306
0.0098,-0.6543,2.2021,-1.5703,-301.97,264.84,31.809,307.29,13.521
0.0105,-1.2207,2.4512,-1.2563,-314.79,218.8,86.979,307.3,13.736
0.0112,-1.5332,2.4756,-0.96182,-310.35,157.42,149.6,307.3,13.951
0.0119,-1.7627,2.2803,-0.54961,-305.42,86.133,215.71,307.29,14.166
0.0126,-2.0947,1.9678,0.08833,-292.1,12.375,269.39,307.29,14.382
0.0133,-2.4219,1.5918,0.77534,-260.03,-51.482,300.7,307.3,14.597
0.014,-2.5732,1.2891,1.2366,-206.74,-106.43,309.64,307.31,14.812
0.0147,-2.4951,0.95703,1.5114,-142.59,-168.31,306.17,307.32,15.027
0.0154,-2.251,0.4541,1.7715,-72.038,-234.64,297.72,307.33,15.242
0.0161,-1.8701,-0.23926,2.1003,-0.98682,-285.13,280.32,307.34,15.457
0.0168,-1.4648,-0.94238,2.3947,60.689,-309.88,245.53,307.35,15.672
0.0175,-1.1084,-1.3916,2.488,115.46,-311.86,189.37,307.35,15.887
0.0182,-0.69824,-1.6357,2.3309,179.6,-307.9,120.78,307.34,16.102
0.0189,-0.16113,-1.8604,2.0365,243.25,-298,49.702,307.33,16.317
0.0196,0.56152,-2.207,1.6734,289.14,-277.71,-18.39,307.32,16.533
0.0203,1.2158,-2.4951,1.3151,307.89,-239.59,-76.541,307.31,16.748
0.021,1.6016,-2.5781,1.0207,308.38,-179.2,-134.2,307.31,16.963
0.0217,1.8115,-2.4072,0.63303,304.43,-109.4,-199.8,307.3,17.178
0.0224,2.0654,-2.1094,0.08833,292.1,-38.612,-260.94,307.3,17.393
0.0231,2.4121,-1.7432,-0.6085,265.45,29.206,-300.2,307.3,17.608
